"code";"diagosis"
"1.7.1.41.7";"Renal vasculitis (Surgical)"
"1.7.2.8.1";"Abnormality of bladder or urinary diversion procedure (Surgical)"
"1.7.2.8.2";"Abnormality of urethra (Surgical)"
"1.7.2.15.1";"Haemorrhage from urethra (Surgical)"
"1.7.2.15.2";"Haemorrhage from bladder (Surgical)"
"1.7.2.27.1";"Cystitis, pyocystis or urethritis (Surgical)"
"1.7.2.30.1";"Bladder outlet obstruction (Surgical)"
"1.7.2.38.1";"Traumatic perforation or rupture of bladder (Surgical)"
"1.7.2.38.2";"Traumatic perforation or rupture of urethra (Surgical)"
"1.7.2.38.3";"Instrumental damage to bladder or urethra (Surgical)"
"1.7.2.39.1";"Bladder tumour (Surgical)"
"1.7.2.39.2";"Urethral tumour (Surgical)"
"1.7.3.15.1";"Haemorrhage from uterus (Surgical)"
"1.7.3.15.2";"Haemorrhage from ovary or fallopian tubes (Surgical)"
"1.7.3.27.1";"Uterine cavity infection (Surgical)"
"1.7.3.27.2";"Pelvic infection or abscess (Surgical)"
"1.7.3.27.3";"Toxic shock syndrome (Surgical)"
"1.7.3.27.4";"Tubo-ovarian abscess (Surgical)"
"1.7.3.32.1";"Ovarian hyperstimulation (Surgical)"
"1.7.3.38.1";"Uterine rupture or perforation (Surgical)"
"1.7.3.38.2";"Instrumental damage to uterus, ovaries or fallopian tubes (Surgical)"
"1.7.3.38.3";"Non-accidental injury to female genitalia  (Surgical)"
"1.7.3.39.1";"Ovarian tumour (Surgical)"
"1.7.3.39.2";"Uterine tumour (Surgical)"
"1.7.3.39.3";"Vulval or vaginal tumour (Surgical)"
"1.7.3.39.4";"Ovarian cyst (Surgical)"
"1.7.4.15.1";"Antepartum haemorrhage (Surgical)"
"1.7.4.15.2";"Peri- and postpartum haemorrhage (Surgical)"
"1.7.4.15.3";"Ectopic pregnancy (Surgical)"
"1.7.4.27.1";"Amnionitis (Surgical)"
"1.7.4.27.2";"Pelvic infection or abscess (Surgical)"
"1.7.4.27.3";"Infected retained products of conception (Surgical)"
"1.7.4.27.4";"Septic abortion (Surgical)"
"1.7.4.28.1";"Intrauterine death (Surgical)"
"1.7.4.32.1";"Ovarian hyperstimulation (Surgical)"
"1.7.4.38.1";"Uterine rupture or perforation (Surgical)"
"1.7.4.38.2";"Instrumental damage to uterus, ovaries or fallopian tubes (Surgical)"
"1.7.4.39.1";"Molar pregnancy (Surgical)"
"1.7.4.41.1";"Amniotic fluid embolus (Surgical)"
"1.7.4.41.2";"HELLP syndrome (Surgical)"
"1.7.4.41.3";"Pre-eclampsia (Surgical)"
"1.7.5.15.1";"Bleeding from prostate gland (Surgical)"
"1.7.5.27.1";"Prostatitis (Surgical)"
"1.7.5.27.2";"Testicular, prostatatic or penile abscess (Surgical)"
"1.7.5.27.3";"Fournier's gangrene of perineal tissues (Surgical)"
"1.7.5.38.1";"Traumatic damage to testes, prostrate or penis (Surgical)"
"1.7.5.38.2";"Instrumental damage to testes, prostrate or penis (Surgical)"
"1.7.5.38.3";"Non-accidental injury to male genitalia (Surgical)"
"1.7.5.39.1";"Testicular or penile tumour (Surgical)"
"1.7.5.39.2";"Benign prostatic hyperplasia (Surgical)"
"1.7.5.39.3";"Malignant prostatic tumour (Surgical)"
"1.8.1.8.1";"Thyroid cysts (Surgical)"
"1.8.1.15.1";"Haemorrhage into or from thyroid (Surgical)"
"1.8.1.32.1";"Hyperthyroidism (Surgical)"
"1.8.1.32.2";"Thyroid crisis (Surgical)"
"1.8.1.39.1";"Thyroid tumour (Surgical)"
"1.8.1.40.1";"Hypothyroidism or myxoedema (Surgical)"
"1.8.2.15.1";"Pituitary haemorrhage (Surgical)"
"1.8.2.32.1";"Cushing's syndrome (Surgical)"
"1.8.2.32.2";"Acromegaly (Surgical)"
"1.8.2.32.3";"Prolactinoma (Surgical)"
"1.8.2.39.1";"Cushing's syndrome (Surgical)"
"1.8.2.39.2";"Acromegaly (Surgical)"
"1.8.2.39.3";"Prolactinoma (Surgical)"
"1.8.2.39.4";"Pituitary tumour not defined (Surgical)"
"1.8.2.40.1";"Diabetes insipidus (central) (Surgical)"
"1.8.2.40.2";"Hypopituitarism (Surgical)"
"1.8.3.8.1";"Inborn errors of adrenal function (Surgical)"
"1.8.3.15.1";"Adrenal haemorrhage (Surgical)"
"1.8.3.32.1";"Cushing's syndrome (Surgical)"
"1.8.3.39.1";"Phaeochromocytoma (Surgical)"
"1.8.3.39.2";"Adrenocortical tumours (Surgical)"
"1.8.3.40.1";"Addison's disease (Surgical)"
"1.8.4.37.1";"Islet cell transplant (Surgical)"
"1.8.4.39.1";"Insulinoma (Surgical)"
"1.8.4.10.1";"Diabetic ketoacidosis (Surgical)"
"1.8.4.10.2";"Hyperosmolar coma (Surgical)"
"1.8.4.10.3";"Hypoglycaemia due to insulin therapy (Surgical)"
"1.8.4.10.4";"Insulinoma (Surgical)"
"1.8.4.10.5";"Diabetes mellitus (Surgical)"
"1.8.5.8.1";"Congenital hypoparathyroidism (Surgical)"
"1.8.5.8.2";"Auto-immune hypoparathyroidism (Surgical)"
"1.8.5.8.3";"Post-surgical hypoparathyroidism (Surgical)"
"1.8.5.32.1";"Hypercalcaemia (Surgical)"
"1.8.5.39.1";"Parathyroid tumour (Surgical)"
"1.8.5.40.1";"Congenital hypoparathyroidism (Surgical)"
"1.8.5.40.2";"Auto-immune hypoparathyroidism (Surgical)"
"1.8.5.40.3";"Post-surgical hypoparathyroidism (Surgical)"
"1.8.6.32.1";"Ovarian hyperstimulation (Surgical)"
"1.8.6.39.1";"Ovarian tumour (Surgical)"
"1.8.6.39.2";"Ovarian cyst (Surgical)"
"1.8.7.20.1";"Malignant hyperpyrexia (Surgical)"
"1.8.7.20.2";"Drug induced hyperpyrexia or neuroleptic malignant syndrome (Surgical)"
"1.8.7.20.3";"Heat-stroke or heat exhaustion (Surgical)"
"1.8.7.26.1";"Accidental hypothermia (Surgical)"
"1.8.7.26.2";"Induced or post-operative hypothermia (Surgical)"
"1.8.8.42.1";"Paraneoplastic hypercalcaemia (Surgical)"
"1.8.8.42.2";"Vitamin D intoxication (Surgical)"
"1.8.8.42.3";"Milk-alkali syndrome (Surgical)"
"1.8.8.21.1";"Hypoparathyroidism (Surgical)"
"1.8.8.21.2";"Chelating agent toxicity (Surgical)"
"1.8.8.17.1";"Iatrogenic potassium intoxication (Surgical)"
"1.8.8.17.2";"Renal failure (Surgical)"
"1.8.8.17.3";"Familial periodic paralysis (Surgical)"
"1.8.8.23.1";"Paraneoplastic hypokalaemia (Surgical)"
"1.8.8.23.2";"Drug induced hypokalaemia (Surgical)"
"1.8.8.23.3";"Renal hypokalaemia (Surgical)"
"1.8.8.18.1";"Diabetes insipidus (central or nephrogenic) (Surgical)"
"1.8.8.18.2";"Water depletion (Surgical)"
"1.8.8.18.3";"Excess sodium intake (Surgical)"
"1.8.8.24.1";"Water intoxication (Surgical)"
"1.8.8.24.2";"Iatrogenic hyponatraemia (Surgical)"
"1.8.8.24.3";"Paraneoplastic hyponatraemia (Surgical)"
"1.8.8.16.1";"Diabetic ketoacidosis (Surgical)"
"1.8.8.16.2";"Hyperosmolar states (Surgical)"
"1.8.8.22.1";"Hypoglycaemia due to insulin therapy (Surgical)"
"1.8.8.22.2";"Insulinoma (Surgical)"
"1.8.8.22.3";"Hypoglycaemia not due to excess insulin (Surgical)"
"1.8.8.2.1";"Hyperchloraemic acidosis (Surgical)"
"1.8.8.2.2";"Lactic acidosis (Surgical)"
"1.8.8.2.3";"Diabetic ketoacidosis (Surgical)"
"1.8.8.4.1";"Gastric fluid loss (Surgical)"
"1.8.8.4.2";"Alkali ingestion (Surgical)"
"1.8.8.43.1";"Water intoxication (Surgical)"
"1.8.8.43.2";"Excess parenteral fluids (Surgical)"
"1.8.8.34.1";"Self poisoning with sedatives or hypnotics (Surgical)"
"1.8.8.34.2";"Self poisoning with narcotics (Surgical)"
"1.8.8.34.3";"Self poisoning with tri- and tetracyclic antidepressants (Surgical)"
"1.8.8.34.4";"Self poisoning with non-cyclic antidepressants (Surgical)"
"1.8.8.34.5";"Self poisoning with cardiovascular drugs  (Surgical)"
"1.8.8.34.6";"Self poisoning with aspirin (Surgical)"
"1.8.8.34.7";"Self poisoning with paracetamol (Surgical)"
"1.8.8.34.8";"Self poisoning with industrial or agricultural chemicals (Surgical)"
"1.8.8.34.9";"Self poisoning with insulin (Surgical)"
"1.8.8.34.10";"Self poisoning with alcohol (Surgical)"
"1.8.8.34.11";"Self poisoning with carbon monoxide (Surgical)"
"1.8.8.34.12";"Self poisoning with gases (not carbon monoxide) (Surgical)"
"1.8.8.34.13";"Self poisoning with agent not defined (Surgical)"
"1.8.8.1.1";"Accidental poisoning with sedatives or hypnotics (Surgical)"
"1.8.8.1.2";"Accidental poisoning with narcotics (Surgical)"
"1.8.8.1.3";"Accidental poisoning with tri- and tetracyclic antidepressants (Surgical)"
"1.8.8.1.4";"Accidental poisoning with non-cyclic antidepressants (Surgical)"
"1.8.8.1.5";"Accidental poisoning with cardiovascular drugs (Surgical)"
"1.8.8.1.6";"Accidental poisoning with aspirin (Surgical)"
"1.8.8.1.7";"Accidental poisoning with paracetamol (Surgical)"
"1.8.8.1.8";"Accidental poisoning with industrial or agricultural chemicals (Surgical)"
"1.8.8.1.9";"Accidental poisoning with insulin (Surgical)"
"1.8.8.1.10";"Accidental poisoning with alcohol (Surgical)"
"1.8.8.1.11";"Accidental poisoning with carbon monoxide (Surgical)"
"1.8.8.1.12";"Accidental poisoning with gases (not carbon monoxide) (Surgical)"
"1.8.8.1.13";"Accidental poisoning with agent not defined (Surgical)"
"1.8.8.44.1";"Snake bite (Surgical)"
"1.8.8.44.2";"Envenomation other than snake (Surgical)"
"1.8.8.3.1";"Alcohol overdose (Surgical)"
"1.8.8.3.2";"Alcohol withdrawal seizures (Surgical)"
"1.8.8.3.3";"Delerium tremens (Surgical)"
"1.8.8.3.4";"Acute alcoholic hepatitis (Surgical)"
"1.8.10.45.1";"Inborn errors of metabolism (Surgical)"
"1.8.9.29.1";"Morbid obesity (Surgical)"
"1.8.9.36.1";"Eating disorder (Surgical)"
"1.8.11.53.1";"Trisomy 18 (Edward's syndrome) (Surgical)"
"1.8.11.53.2";"Trisomy 21 (Down's syndrome) (Surgical)"
"1.8.11.53.3";"Trisomy 13 (Patau or trisomy D) (Surgical)"
"1.8.11.53.4";"Other trisomy (Surgical)"
"1.8.11.54.1";"Chromosomal deletion syndromes (partial monosomy) (Surgical)"
"1.8.11.46.1";"Turner's syndrome (XO) (Surgical)"
"1.8.11.46.2";"Klinefelter's syndrome (XXY) (Surgical)"
"1.8.11.46.3";"Other sex chromosome disorders (Surgical)"
"1.8.11.47.1";"Contiguous gene syndromes (Surgical)"
"1.9.1.8.1";"Anaemias (Surgical)"
"1.9.1.8.2";"Polycythaemia (Surgical)"
"1.9.1.8.3";"Porphyria (Surgical)"
"1.9.1.8.4";"Sickle cell disease (Surgical)"
"1.9.1.8.5";"Spherocytosis or stomatocytosis (Surgical)"
"1.9.1.8.6";"Thalassaemia (Surgical)"
"1.9.1.8.7";"Haemophilia or von Willebrand's disease (Surgical)"
"1.9.1.14.1";"Autoimmume haemolysis (Surgical)"
"1.9.1.14.2";"Drug induced haemolysis (Surgical)"
"1.9.1.14.3";"Disseminated intravascular coagulation (Surgical)"
"1.9.1.14.4";"Idiopathic thrombocytopaenic purpura (Surgical)"
"1.9.1.14.5";"Drug induced thrombocytopaenia (Surgical)"
"1.9.1.14.6";"Haemolytic or uraemic syndrome (Surgical)"
"1.9.1.14.7";"Henoch-Schonlein purpura (Surgical)"
"1.9.1.14.8";"Transfusion reaction (Surgical)"
"1.9.1.14.9";"HELLP syndrome (Surgical)"
"1.9.1.14.10";"Thrombotic thrombocytopaenic purpura (Surgical)"
"1.9.1.27.1";"Leishmaniasis (Surgical)"
"1.9.1.27.2";"Malaria (Surgical)"
"1.9.1.27.3";"HIV (Surgical)"
"1.9.1.27.4";"Septicaemia (Surgical)"
"1.9.1.27.5";"Leptospirosis (Surgical)"
"1.9.1.27.6";"Mononucleosis (Surgical)"
"1.9.2.25.1";"Aplastic anaemia (Surgical)"
"1.9.2.25.2";"Drug induced hypoplasia (Surgical)"
"1.9.2.25.3";"Myelodysplasia (Surgical)"
"1.9.2.37.1";"Bone marrow transplant (Surgical)"
"1.9.2.37.2";"Graft vs Host disease (Surgical)"
"1.9.2.39.1";"Acute lymphoblastic leukaemia (Surgical)"
"1.9.2.39.2";"Acute myeloblastic leukaemia (Surgical)"
"1.9.2.39.3";"Chronic lymphocytic leukaemia (Surgical)"
"1.9.2.39.4";"Chronic myelogenous leukaemia (Surgical)"
"1.9.2.39.5";"Hodgkin's lymphoma (Surgical)"
"1.9.2.39.6";"Non-Hodgkin's lymphoma (Surgical)"
"1.9.2.39.7";"Myeloma (Surgical)"
"1.10.1.8.1";"Rheumatoid or osteoarthritis (Surgical)"
"1.10.1.8.2";"Kyphoscoliosis (Surgical)"
"1.10.1.8.3";"Spinal ankylosis (Surgical)"
"1.10.1.8.4";"Spina bifida or meningomyelocele (Surgical)"
"1.10.1.15.1";"Haemorrhage from or haematoma of vertebral column (Surgical)"
"1.10.1.27.1";"Discitis (Surgical)"
"1.10.1.27.2";"Osteomyelitis or vertebral abscess (Surgical)"
"1.10.1.38.1";"Cervical spine fracture or ligamentous injury (Surgical)"
"1.10.1.38.2";"Thoracic spine fracture or ligamentous injury (Surgical)"
"1.10.1.38.3";"Lumbar spine fracture or ligamentous injury (Surgical)"
"1.10.1.39.1";"Primary tumour in vertebral column (Surgical)"
"1.10.1.39.2";"Secondary tumour in vertebral column (Surgical)"
"1.10.2.8.1";"Rheumatoid or osteoarthritis (Surgical)"
"1.10.2.15.1";"Haemorrhage from or haematoma of pelvis, long bones or joints (Surgical)"
"1.10.2.27.1";"Osteomyelitis (Surgical)"
"1.10.2.27.2";"Infective arthritis (Surgical)"
"1.10.2.27.3";"Pelvic infection or abscess (Surgical)"
"1.10.2.38.1";"Pelvic fracture (Surgical)"
"1.10.2.38.2";"Single long bone fracture (Surgical)"
"1.10.2.38.3";"Multiple long bone fractures (Surgical)"
"1.10.2.38.4";"Non-accidental injury to pelvis, long bones or joints (Surgical)"
"1.10.2.39.1";"Primary tumour of bone (Surgical)"
"1.10.2.39.2";"Secondary tumour of bone (Surgical)"
"1.10.3.8.1";"Congenital muscular dystrophy (Surgical)"
"1.10.3.8.2";"Pseudocholinesterase deficiency (Surgical)"
"1.10.3.8.3";"Myasthenia gravis (Surgical)"
"1.10.3.9.1";"Degenerative myopathy (Surgical)"
"1.10.3.15.1";"Haemorrhage from or haematoma of muscle or connective tissue (Surgical)"
"1.10.3.15.2";"Compartment syndrome (Surgical)"
"1.10.3.27.1";"Myositis (Surgical)"
"1.10.3.27.2";"Necrotising fasciitis (Surgical)"
"1.10.3.27.3";"Infective arthritis (Surgical)"
"1.10.3.27.4";"Rhabdomyolysis (Surgical)"
"1.10.3.27.5";"Abscess of muscle or connective tissue (Surgical)"
"1.10.3.27.6";"Fournier's gangrene of perineal tissues (Surgical)"
"1.10.3.28.1";"Polymyositis (Surgical)"
"1.10.3.28.2";"Systemic lupus erythromatosis (Surgical)"
"1.10.3.28.3";"Rhabdomyolysis (Surgical)"
"1.10.3.28.4";"Myasthenia gravis (Surgical)"
"1.10.3.28.5";"Rheumatoid arthritis (Surgical)"
"1.10.3.28.6";"Systemic sclerosis (Surgical)"
"1.10.3.28.7";"Vasculitis not defined (Surgical)"
"1.10.3.38.1";"Crush injury (Surgical)"
"1.10.3.38.2";"Compartment syndrome (Surgical)"
"1.10.3.38.3";"Non-accidental injury to muscles or connective tissue (Surgical)"
"1.10.3.38.4";"Amputation of limb (Surgical)"
"1.10.3.39.1";"Primary or secondary tumour of muscle or connective tissue (Surgical)"
"1.10.3.41.1";"Rhabdomyolysis (Surgical)"
"1.10.3.41.2";"Compartment syndrome (Surgical)"
"1.11.1.5.1";"Burns caused by dry heat (Surgical)"
"1.11.1.5.2";"Steam burns or scalds (Surgical)"
"1.11.1.5.3";"Electrical burns (Surgical)"
"1.11.1.5.4";"Chemical burns (Surgical)"
"1.11.1.27.1";"Cutaneous cellulitis (Surgical)"
"1.11.1.27.2";"Toxic epidermal necrolysis (Surgical)"
"1.11.1.27.3";"Necrotising fasciitis (Surgical)"
"1.11.1.27.4";"Orbital cellulitis (Surgical)"
"1.11.1.27.5";"Fournier's gangrene of perineal tissues (Surgical)"
"1.11.1.27.6";"Leprosy (Surgical)"
"1.11.1.28.1";"Exfoliative dermatitis (Surgical)"
"1.11.1.28.2";"Pemphigus vulgaris (Surgical)"
"1.11.1.28.3";"Psoriasis and pustular psoriasis (Surgical)"
"1.11.1.28.4";"Toxic epidermal necrolysis (Surgical)"
"1.11.1.28.5";"Erythema multiforme (Surgical)"
"1.11.1.28.6";"Stevens-Johnson syndrome (Surgical)"
"1.11.1.28.7";"Scleroderma (Surgical)"
"1.11.1.38.1";"Degloving injury (Surgical)"
"1.11.1.38.2";"Non-accidental injury to skin (Surgical)"
"1.11.1.39.1";"Cutaneous melanoma (Surgical)"
"1.11.1.39.2";"Basal cell carcinoma of skin (Surgical)"
"1.11.1.39.3";"Carcinoma of breast (Surgical)"
"1.12.1.48.1";"Alcohol dependence (Surgical)"
"1.12.1.48.2";"Drug dependence (Surgical)"
"1.12.1.48.3";"Delerium tremens (Surgical)"
"1.12.1.49.1";"Depression (Surgical)"
"1.12.1.49.2";"Mania or manic depression (Surgical)"
"1.12.1.50.1";"Neurosis disorder (Surgical)"
"1.12.1.50.2";"Personality disorder (Surgical)"
"1.12.1.51.1";"Schizophrenia (Surgical)"
"1.12.1.52.1";"Congenital mental handicap (Surgical)"
"2.1.1.8.1";"Mouth, mandible, pharynx, or facial bones deformity (Nonsurgical)"
"2.1.1.8.2";"Tracheo-oesophageal fistula (Nonsurgical)"
"2.1.1.8.3";"Laryngomalacia (Nonsurgical)"
"2.1.1.8.4";"Tracheomalacia (Nonsurgical)"
"2.1.1.8.5";"Choanal atresia (Nonsurgical)"
"2.1.1.8.6";"Vocal cord abnormality (Nonsurgical)"
"2.1.1.15.1";"Post-tonsillectomy bleeding (Nonsurgical)"
"2.1.1.15.2";"Upper airway bleeding not defined (Nonsurgical)"
"2.1.1.27.1";"Mandible, facial bones, dental or salivary infection (Nonsurgical)"
"2.1.1.27.2";"Tonsil or pharyngeal infection (Nonsurgical)"
"2.1.1.27.3";"Epiglottitis (Nonsurgical)"
"2.1.1.27.4";"Croup or laryngotracheobronchitis (Nonsurgical)"
"2.1.1.27.5";"Airway compression by extrinsic abscess (Nonsurgical)"
"2.1.1.27.6";"Pertussis (Nonsurgical)"
"2.1.1.28.1";"Inhalational burns (Nonsurgical)"
"2.1.1.28.2";"Angio-neurotic oedema due to drug or treatment reaction (Nonsurgical)"
"2.1.1.28.3";"Oedema due to venous obstruction (Nonsurgical)"
"2.1.1.30.1";"Extrinsic compression of airway by haematoma (Nonsurgical)"
"2.1.1.30.2";"Extrinsic compression of airway by abscess (Nonsurgical)"
"2.1.1.30.3";"Extrinsic compression of airway by thyroid or lymphoid tissue (Nonsurgical)"
"2.1.1.30.4";"Epiglottitis (Nonsurgical)"
"2.1.1.30.5";"Croup or laryngotracheobronchitis (Nonsurgical)"
"2.1.1.30.6";"Hanging or strangulation (Nonsurgical)"
"2.1.1.30.7";"Tracheal stenosis (Nonsurgical)"
"2.1.1.30.8";"Airway obstruction by foreign body (Nonsurgical)"
"2.1.1.30.9";"Inhalational burns (Nonsurgical)"
"2.1.1.30.10";"Angio-neurotic oedema due to drug or treatment reaction (Nonsurgical)"
"2.1.1.30.11";"Oedema due to venous obstruction (Nonsurgical)"
"2.1.1.30.12";"Obstructive sleep apnoea (Nonsurgical)"
"2.1.1.30.14";"Vascular ring (Nonsurgical)"
"2.1.1.30.15";"Laryngospasm (Nonsurgical)"
"2.1.1.38.1";"Mouth, mandible, pharynx, or facial bones trauma (Nonsurgical)"
"2.1.1.38.2";"Laryngeal trauma or perforation (Nonsurgical)"
"2.1.1.38.3";"Tracheal trauma or perforation (Nonsurgical)"
"2.1.1.39.1";"Head or neck tumour not intra-oral or intra-cranial (Nonsurgical)"
"2.1.1.39.2";"Intra-oral or pharyngeal tumour (Nonsurgical)"
"2.1.1.39.3";"Tracheal tumour (Nonsurgical)"
"2.1.1.39.4";"Laryngeal tumour (Nonsurgical)"
"2.1.1.41.1";"Vascular ring (Nonsurgical)"
"2.1.2.8.1";"Cystic fibrosis (Nonsurgical)"
"2.1.2.8.2";"Bronchopulmonary dysplasia (Nonsurgical)"
"2.1.2.15.1";"Bronchial haemorrhage (Nonsurgical)"
"2.1.2.27.1";"Acute bronchitis or laryngotracheobronchitis (Nonsurgical)"
"2.1.2.27.2";"Exacerbation of chronic obstructive airways disease (COAD/COPD) (Nonsurgical)"
"2.1.2.27.3";"Exacerbation of bronchiectasis (Nonsurgical)"
"2.1.2.27.4";"Bronchiolitis (Nonsurgical)"
"2.1.2.28.1";"Smoke inhalation (Nonsurgical)"
"2.1.2.28.2";"Bronchiolitis obliterans (Nonsurgical)"
"2.1.2.30.1";"Asthma attack in new or known asthmatic (Nonsurgical)"
"2.1.2.30.2";"Drug, procedure or transfusion induced bronchospasm in non-asthmatic (Nonsurgical)"
"2.1.2.30.3";"Obstruction by foreign body (Nonsurgical)"
"2.1.2.30.4";"Sputum retention (Nonsurgical)"
"2.1.2.30.5";"Extrinsic compression of bronchus by tumour (Nonsurgical)"
"2.1.2.30.6";"Chronic obstructive airways disease (COAD/COPD) (Nonsurgical)"
"2.1.2.30.7";"Meconium aspiration (Nonsurgical)"
"2.1.2.30.8";"Bronchiolitis obliterans (Nonsurgical)"
"2.1.2.38.1";"Traumatic rupture or perforation of bronchus (Nonsurgical)"
"2.1.2.38.2";"Instrumental perforation of bronchus (Nonsurgical)"
"2.1.2.39.1";"Bronchial tumour (Nonsurgical)"
"2.1.3.8.1";"Anomalous pulmonary venous drainage (Nonsurgical)"
"2.1.3.8.2";"Pulmonary arterio-venous malformations (Nonsurgical)"
"2.1.3.8.3";"Transposition of great arteries (Nonsurgical)"
"2.1.3.8.4";"Patent ductus arteriosus (Nonsurgical)"
"2.1.3.8.5";"Truncus arteriosus (Nonsurgical)"
"2.1.3.15.1";"Goodpastures syndrome (Nonsurgical)"
"2.1.3.15.2";"Pulmonary vasculitis not defined (Nonsurgical)"
"2.1.3.15.3";"Leptospirosis (Nonsurgical)"
"2.1.3.15.4";"Pulmonary haemorrhage due to contusion (Nonsurgical)"
"2.1.3.15.5";"Pulmonary haemorrhage not defined (Nonsurgical)"
"2.1.3.19.1";"Idiopathic pulmonary hypertension (Nonsurgical)"
"2.1.3.19.2";"Eisenmenger's syndrome (Nonsurgical)"
"2.1.3.19.3";"Cor pulmonale (Nonsurgical)"
"2.1.3.28.1";"Goodpastures syndrome (Nonsurgical)"
"2.1.3.28.2";"Pulmonary vasculitis not defined (Nonsurgical)"
"2.1.3.30.1";"Pulmonary embolus (thrombus) (Nonsurgical)"
"2.1.3.30.2";"Fat embolus (Nonsurgical)"
"2.1.3.30.3";"Venous air embolus (Nonsurgical)"
"2.1.3.30.4";"Pulmonary tumour embolus (Nonsurgical)"
"2.1.3.30.5";"Amniotic fluid embolus (Nonsurgical)"
"2.1.3.38.1";"Traumatic damage to pulmonary vessels (Nonsurgical)"
"2.1.3.38.2";"Instrumental damage to pulmonary vessels (Nonsurgical)"
"2.1.4.6.1";"Lung collapse or atelectasis (Nonsurgical)"
"2.1.4.6.2";"Non-traumatic haemothorax (Nonsurgical)"
"2.1.4.6.3";"Traumatic haemothorax or haemopneumothorax (Nonsurgical)"
"2.1.4.6.4";"Lung collapse due to pneumothorax (Nonsurgical)"
"2.1.4.6.5";"Lung collapse secondary to broncho-pleural fistula (Nonsurgical)"
"2.1.4.8.1";"Lung cyst (Nonsurgical)"
"2.1.4.8.2";"Cystic fibrosis (Nonsurgical)"
"2.1.4.15.1";"Pulmonary haemorrhage due to contusion (Nonsurgical)"
"2.1.4.15.2";"Goodpasture's syndrome (Nonsurgical)"
"2.1.4.15.3";"Leptospirosis (Nonsurgical)"
"2.1.4.15.4";"Pulmonary haemorrhage not defined (Nonsurgical)"
"2.1.4.15.5";"Pulmonary vasculitis not defined (Nonsurgical)"
"2.1.4.27.1";"Bacterial pneumonia (Nonsurgical)"
"2.1.4.27.2";"Fungal or yeast pneumonia (Nonsurgical)"
"2.1.4.27.3";"Viral pneumonia (Nonsurgical)"
"2.1.4.27.4";"Parasitic pneumonia (Nonsurgical)"
"2.1.4.27.5";"Pneumonia, no organism isolated (Nonsurgical)"
"2.1.4.27.6";"Tuberculosis (Nonsurgical)"
"2.1.4.27.7";"Lung abscess (Nonsurgical)"
"2.1.4.31.2";"Sarcoidosis (Nonsurgical)"
"2.1.4.31.3";"Pulmonary fibrosis or fibrosing alveolitis (Nonsurgical)"
"2.1.4.31.4";"Emphysema (Nonsurgical)"
"2.1.4.31.5";"Inhalation pneumonitis (gastrointestinal contents) (Nonsurgical)"
"2.1.4.31.6";"Inhalation pneumonitis (blood) (Nonsurgical)"
"2.1.4.31.7";"Inhalation pneumonitis (smoke or gases) (Nonsurgical)"
"2.1.4.31.8";"Drowning (fresh or salt water) (Nonsurgical)"
"2.1.4.31.9";"Cardiogenic pulmonary oedema (Nonsurgical)"
"2.1.4.31.10";"Non-cardiogenic pulmonary oedema (ARDS) (Nonsurgical)"
"2.1.4.31.11";"Neurogenic pulmonary oedema (Nonsurgical)"
"2.1.4.31.13";"Post-radiotherapy pneumonitis or fibrosis (Nonsurgical)"
"2.1.4.31.14";"Lymphangitis carcinomatosis (Nonsurgical)"
"2.1.4.31.15";"Meconium aspiration (Nonsurgical)"
"2.1.4.31.16";"Hyaline membrane disease (Nonsurgical)"
"2.1.4.37.1";"Lung transplant (Nonsurgical)"
"2.1.4.37.2";"Rejection of lung transplant (Nonsurgical)"
"2.1.4.38.1";"Pulmonary contusion (Nonsurgical)"
"2.1.4.39.1";"Primary lung tumour (Nonsurgical)"
"2.1.4.39.2";"Secondary lung tumour (Nonsurgical)"
"2.1.5.8.1";"Pleural thickening or calcification (Nonsurgical)"
"2.1.5.8.2";"Hiatus hernia (Nonsurgical)"
"2.1.5.8.3";"Diaphragmatic hernia (Nonsurgical)"
"2.1.5.8.4";"Pleural effusion (Nonsurgical)"
"2.1.5.15.1";"Non-traumatic haemothorax (Nonsurgical)"
"2.1.5.15.2";"Traumatic haemothorax or haemopneumothorax (Nonsurgical)"
"2.1.5.27.1";"Pleurisy (Nonsurgical)"
"2.1.5.27.2";"Empyema or infected effusion (Nonsurgical)"
"2.1.5.27.3";"Mediastinitis (Nonsurgical)"
"2.1.5.27.4";"Tuberculosis (Nonsurgical)"
"2.1.5.38.1";"Traumatic haemothorax or haemopneumothorax (Nonsurgical)"
"2.1.5.38.2";"Traumatic pneumothorax (Nonsurgical)"
"2.1.5.38.3";"Traumatic broncho-pleural fistula (Nonsurgical)"
"2.1.5.38.4";"Chylothorax (Nonsurgical)"
"2.1.5.39.1";"Mesothelioma (Nonsurgical)"
"2.1.5.39.2";"Mediastinal tumour (Nonsurgical)"
"2.1.10.7.1";"Toxic or drug-induced coma or encephalopathy (Nonsurgical)"
"2.1.10.7.2";"Metabolic coma or encephalopathy (Nonsurgical)"
"2.1.10.7.3";"Anoxic or ischaemic coma or encephalopathy (Nonsurgical)"
"2.1.10.7.4";"Degenerative coma or encephalopathy (Nonsurgical)"
"2.1.10.7.5";"Post-anaesthetic encephalopathy aetiology uncertain (Nonsurgical)"
"2.1.10.7.6";"Brainstem death (Nonsurgical)"
"2.1.10.7.7";"Primary brain injury (Nonsurgical)"
